label,total_events,evt_epoll_wait,evt_switch,evt_select,evt_wait4,evt_times,evt_accept,evt_futex,evt_getsockname,evt_fcntl,evt_read,evt_stat,evt_openat,evt_mmap,evt_munmap,evt_madvise,evt_writev,evt_write,evt_close,evt_epoll_ctl,evt_clone,evt_set_robust_list,evt_mprotect,evt_sigaltstack,evt_rt_sigprocmask,evt_gettid,evt_nanosleep,evt_getpid,evt_tgkill,evt_epoll_pwait,evt_signaldeliver,evt_procexit,evt_execve,evt_brk,evt_access,evt_fstat,evt_arch_prctl,evt_getuid,evt_getgid,evt_geteuid,evt_getegid,evt_sysinfo,evt_rt_sigaction,evt_uname,evt_getcwd,evt_getppid,evt_socket,evt_connect,evt_lseek,evt_getpgrp,evt_prlimit,evt_getpeername,evt_pipe,evt_dup,evt_set_tid_address,evt_statfs,evt_exit_group,evt_rt_sigreturn,evt_fadvise64,evt_umask,evt_fchmodat,evt_ioctl,evt_newfstatat,evt_unlinkat,evt_shutdown,evt_sched_yield,evt_lstat,evt_lgetxattr,evt_getxattr,evt_getdents64,evt_poll,evt_pselect6,evt_mkdir,evt_readlink,evt_rename,evt_chmod,evt_unlink,evt_symlink,evt_getrandom,evt_sendmmsg,evt_recvfrom,evt_exit,evt_setsockopt,evt_getsockopt,evt_sendto,evt_link,evt_chdir,evt_setitimer,evt_sched_getaffinity,evt_readlinkat,evt_epoll_create1,evt_capget,evt_getpgid,evt_rt_sigsuspend,evt_kill,evt_alarm,evt_setgid,evt_chown,evt_getgroups,evt_setgroups,evt_setresgid,evt_setresuid,evt_prctl,evt_getresuid,evt_getresgid,evt_clock_gettime,evt_bind,evt_recvmsg,evt_lchown,evt_faccessat,evt_utimensat,evt_fstatfs,evt_fchdir,evt_flistxattr,evt_fgetxattr,evt_fsetxattr,evt_mremap,evt_setpgid,evt_timer_create,evt_timer_settime,evt_setuid,evt_mknod,evt_mount,evt_umount,evt_finit_module
1,14001,332,710,60,138,322,64,1116,42,144,840,658,1222,1538,378,120,262,324,1358,592,91,46,322,80,240,40,472,48,8,8,41,45,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,21,22,6,6,2,2,2,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17377,3174,712,58,136,352,78,1244,52,164,928,690,1252,1568,412,124,294,354,1400,682,91,46,322,80,240,40,378,42,2,8,41,45,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,21,22,6,6,2,2,2,52,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21604,9316,971,58,136,252,50,818,38,136,730,588,1152,1444,290,80,194,298,1274,446,79,30,302,48,216,24,172,40,0,4,33,37,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,21,22,6,6,2,2,2,36,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15686,1996,673,60,134,334,78,1114,42,144,870,670,1234,1550,390,122,274,338,1372,618,91,46,322,80,240,40,384,40,0,6,41,45,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,21,22,6,6,2,2,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16972,2990,643,58,136,352,80,1236,52,164,932,690,1252,1560,398,124,294,358,1400,682,87,42,316,72,232,36,282,44,4,6,40,43,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,22,22,6,6,2,2,2,52,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18377,3634,808,58,114,500,116,1670,66,172,1164,752,1174,1406,524,192,442,498,1274,932,66,36,246,60,186,30,294,36,6,6,32,33,33,174,114,648,36,82,82,88,82,6,200,6,6,10,20,20,14,6,12,6,8,36,6,12,18,17,14,4,4,6,2,2,42,4,8,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20392,8332,577,58,114,352,92,1192,52,144,888,600,1024,1246,370,124,294,368,1132,682,58,28,234,44,170,22,168,30,0,4,26,29,33,174,114,648,36,82,82,88,82,6,200,6,6,10,20,20,14,6,12,6,8,36,6,12,18,15,14,4,4,6,2,2,52,0,38,24,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16194,2740,660,58,136,318,70,1070,42,144,838,656,1220,1530,374,120,260,320,1358,590,88,44,318,76,234,38,422,42,2,4,40,44,46,238,144,862,50,102,102,110,102,8,262,8,8,14,16,16,10,8,14,8,12,54,6,12,25,21,22,6,6,2,2,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12678,2278,496,60,124,236,54,724,28,116,612,522,962,1244,266,80,176,226,1094,396,75,36,270,60,168,30,328,32,2,4,33,36,39,192,120,714,42,84,84,90,84,6,198,6,6,12,12,12,6,6,12,6,12,54,6,12,21,18,18,6,6,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18523,8084,550,58,120,244,28,750,26,112,626,532,972,1248,284,80,186,238,1094,408,72,34,266,56,162,28,236,38,8,6,32,35,39,192,120,714,42,84,84,90,84,6,198,6,6,12,12,12,6,6,12,6,12,54,6,12,21,18,18,6,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
